premise,hypothesis,label,idx
V Iraku še ni bilo najdenega orožja za množično uničevanje.,V Iraku najdeno orožje za množično uničevanje.,not_entailment,0
"Žalost, potem ko je umrl papež Janez Pavel II., Je postal kraj praznovanja, saj so se rimokatoliški verniki zbrali v središču Chicaga, da bi obeležili postavitev novega papeža Benedikta XVI.",Papež Benedikt XVI. Je novi vodja Rimskokatoliške cerkve.,entailment,1
"Zdravilo Herceptin je bilo že odobreno za zdravljenje najbolj bolnih bolnikov z rakom dojke, družba pa je v ponedeljek dejala, da se bo z zveznimi regulatorji pogovorila o možnosti predpisovanja zdravila za več bolnikov z rakom dojke.",Herceptin se lahko uporablja za zdravljenje raka dojke.,entailment,2
"Judie Vivian, izvršna direktorica ProMedica, podjetja za medicinske storitve, ki pomaga vzdrževati dve leti stari Vietnamski inštitut za srce v mestu Ho Chi Minh (nekdanji Saigon), je povedala, da je bilo do zdaj na zdravljenju približno 1500 otrok.",Prejšnje ime Ho Ši Mina je bilo Saigon.,entailment,3
"Na sodišču je kasneje obtožen moški, ki je bil pred 26 leti umorjen najstnika, katerega primer je bil prvi predstavljen na BBC One&#39;s Crimewatch. 16-letna Colette Aram je 30. oktobra 1983 hodila do hiše svojega fanta v Keyworthu v Nottinghamshireju, ko je izginila. Njeno telo so pozneje našli na polju blizu njenega doma. 50-letni Paul Stewart Hutchinson je obtožen umora, kasneje pa mora biti pred sodniki iz Nottinghama.","Paul Stewart Hutchinson je obtožen, da je zabodel dekle.",not_entailment,4
"Britanija je v petek sporočila, da je duhovniku Omarju Bakriju prepovedala vrnitev v državo iz Libanona, kjer ga je policija po 24 urah pridržala.","Bakri je bil na kratko pridržan, a so ga izpustili.",entailment,5
"Skoraj 4 milijone otrok, ki imajo vsaj enega od staršev, ki so nezakonito vstopili v ZDA, so se rodili v ZDA in so zaradi tega državljani ZDA, kaže študija Pew Hispanic Center. To je približno tri četrtine od ocenjenih 5,5 milijona otrok ilegalnih priseljencev znotraj ZDA, kaže študija. Študija je pokazala, da približno 1,8 milijona otrok priseljencev brez dokumentov živi v revščini.",Tri četrtine ilegalnih priseljencev v ZDA ima otroke.,not_entailment,6
"Tako kot ZDA so tudi uslužbenci OZN zgroženi, da je Aristide v Port-au-Princeu ubil konferenco, ki jo je sklical premier Robert Malval, v upanju, da bo združil vse spore.",Aristide je dal umoriti premierja Roberta Malvala v Port-au-Princeu.,not_entailment,7
"WASHINGTON - Novo razkrite pripovedi nasvetov Busheve administracije Cie o ostrih zaslišanjih kažejo, da majhna skupina odvetnikov ministrstva za pravosodje, ki so pisali dopise, s katerimi so dovoljevali sporne tehnike zasliševanja, ni delovala sama, ampak po navodilih najvišjih uradnikov, tudi takrat -Vice predsednik Dick Cheney in svetovalka za nacionalno varnost Condoleezza Rice. Hkrati pripoved nakazuje, da sta bila takratna obrambna ministrica Donald H. Rumsfeld in takratni državni sekretar Colin Powell v glavnem izpuščena iz postopka odločanja.",Dick Cheney je bil podpredsednik Busha.,entailment,8
"Le teden dni po tem, ko ni imel pripomb o povečanju zmogljivosti shranjevanja svoje e-poštne storitve Hotmail, je Microsoft zgodaj v četrtek sporočil, da poveča dodatek na 250 MB, da bi sledil podobnim potezam tekmecev, kot so Google, Yahoo in Lycos.",Microsoftov Hotmail je povečal prostor za shranjevanje na 250 MB.,entailment,9
"Lina Joy, 42, se je rodila Azlini Jailani malajskim staršem in je bila vzgojena kot muslimanka. Malezijska ustava zagotavlja svobodo veroizpovedi, toda po zakonu so vse etnične Malezije muslimani. Joy se je spreobrnila v krščanstvo pri 26 letih in po nekaterih birokratskih težavah se je leta 1999 pravno spremenila. Vendar je državni oddelek za nacionalno registracijo na svoji osebni izkaznici MyKad ohranil navedeno vero kot islam. Da bi se njena vera spremenila, je Nacionalni oddelek za registracijo dejal, da mora Joy pridobiti potrdilo o odpadništvu od muslimanskega šeriatskega sodišča.",Starši Line Joy so iz Malezije.,entailment,10
"9. november 1989, dan, ko je padel Berlinski zid in se svet za vedno spremenil. Niti najbolj pronicljivi niso videli, da prihaja. Kot madžarski zunanji minister pozno poleti 1989 je Gyula Horn ukazal, naj gostujoči vzhodni Nemci po njegovi državi prevozijo 400 milj okoli Berlinskega zidu, kar je zdaj težko začetek konca linijski komunizem v Evropi.",Berlinski zid je bil porušen leta 1989.,entailment,11
"Valero Energy Corp. je v ponedeljek dejal, da je v svoji rafineriji Port Arthur na dan 250.000 sodčkov našel &quot;veliko&quot; dodatno škodo.",Valero Energy Corp. proizvede 250.000 sodov na dan.,entailment,12
Cene nafte se z odpravo nevarnosti nafte Yukos znižujejo,Cene nafte rastejo.,not_entailment,13
"Brian Brohm, branilec Louisville, je vrgel 368 jardov in pet touchdownov, ko so Cardinals premagali gostujočo državo Oregon s 63: 27.","Kvoterbek je vrgel 413 jardov in tri touchdowne, nato pa še dvakrat tekel v končno cono.",not_entailment,14
