idx,choice1,choice2,premise,question,label
0,Sonce je vzhajalo.,Trava je bila pokošena.,Moje telo je metalo senco na travo.,cause,0
1,"Ženska je vedela, da ima njena prijateljica težko obdobje.","Ženski se je zdelo, da njena prijateljica izkorišča njeno prijaznost.",Ženska je tolerirala prijateljičino naporno vedenje.,cause,0
2,Kavarna se je znova odprla na novi lokaciji.,Hoteli sta pokramljati.,Dobili sta se na kavi.,cause,1
3,Napovedane so bile visoke temperature.,Nameravala je teči ob plaži.,Tekačica je nosila kratke hlače.,cause,0
4,Imeli so zabavo presenečenja.,Imeli so rojstnodnevno zabavo.,Povabljenci so se skrili za kavč.,cause,0
5,Uporabil je negativne oglase.,Nihče ni glasoval zanj.,Politik je izgubil volitve.,cause,1
6,Pokrpal sem srajco.,Pobelil sem srajco.,Odstranil sem madež s srajce.,cause,1
7,Pozdravil je blagajničarja.,Uporabil je kupon.,Dobil je popust na svoj nakup.,cause,1
8,Pacient je tožil zdravnika zaradi malomarnosti.,Pacient je zdravniku razkril zaupne podatke.,Zdravnik je napačno diagnosticiral pacienta.,effect,0
9,Prodajalec je premalo zaračunal stranki.,Prodajalec je bil nesramen do stranke.,Stranka se je pritožila vodji trgovine.,cause,1
10,Pipa je puščala.,Pipa je bila zaprta.,Popravila je svojo pipo.,cause,0
11,Njena hčerka je prišla počistit hišo.,"Njena hčerja se je preselila k njej, da bi skrbela zanjo.",Starko je zadela kap.,effect,1
12,Ljudje so se drsali na ribniku.,Ljudje so pripeljali čolne do ribnika.,Ribnik je zmrznil čez zimo.,effect,0
13,Poslali so jo nazaj v zapor.,Ukradla je denar iz cerkve.,Prestopnica je kršila pogojni izpust.,effect,0
14,Prijatelj se je zbudil.,Prijatelj je smrčal.,Spečega prijatelja sem polil z vodo.,effect,0
15,Prijatelj ji je za majico vrgel ledeno kocko.,Prijatelj jo je potrepljal po hrbtu.,Dekle je zajelo sapo.,cause,0
16,Nanjo sem polil belilo.,Dal sem jo v sušilni stroj.,Srajca se je skrčila.,cause,1
17,Z neba so začele padati snežinke.,Na nebu se je prikazala luna.,Zunaj se je stemnilo.,effect,1
18,Klicatelj se je poslovil od mene.,Klicatelj se mi je predstavil.,Odložil sem telefon.,cause,0
19,Loščila je prstan.,Prstan je padel v odtok.,Prstan ji je zdrsnil s prsta med tuširanjem.,effect,1
20,Zmagala je na tekmovanju iz črkovanja.,Spoznala je novega prijatelja.,Deklica je dobila nagrado.,cause,0
21,Odprl ji je vrata.,"Vprašal jo je, če ima rada suši.",Njen zmenek je hotel izpasti kot kavalir.,effect,0
22,Zgradili so kanal.,Prišla je poplava.,Kmetijske površine je bilo treba zalivati.,effect,0
23,"Prepričana je bila, da ima gripo.","Skrbelo jo je, da bo dobila gripo.",Gostiteljica je odpovedala zabavo.,cause,0
24,Privlačil jo je.,Odbijal jo je.,Dala mu je svojo telefonsko številko.,cause,0
25,Odprla je padalo.,Skočila je iz letala.,Padalka je varno pristala na tleh.,cause,0
26,Mama jo je dala spat.,Mama ji je spletla lase v kitke.,Malčica je postala sitna.,effect,0
27,Ni se izpostavljal bolezni.,Bil je cepljen proti bolezni.,Otrok je postal imun na bolezen.,cause,1
28,Sok se je spremenil v vino.,Sok je izpuhtel.,Grozdni sok je fermentiral.,effect,0
29,Prijatelji so se strinjali.,Prijatelji so dlakocepili.,Debata med prijatelji se je vlekla v nedogled.,cause,1
30,Bila je nervozna.,Bila je dobre volje.,Brundala je.,cause,1
31,Nosil je čepico.,Pustil si je brado.,Sovražil je svojo novo frizuro.,effect,0
32,Ubežnik je padel na tla.,Ubežnik je spustil pištolo.,Policisti so uperili orožje v ubežnika.,effect,1
33,Sestra je preverila njegove reflekse.,Sestra mu je dala intravenozno kanilo.,Pacient je bil dehidriran.,effect,1
34,Sestavila je sestavljanko.,Razdrla je sestavljanko.,Dekle je našlo manjkajoči košček sestavljanke.,effect,0
35,Hotel je izklopiti budilko.,Hotel je zlikati hlače pred službo.,V naglici je skočil iz postelje.,cause,0
36,Naredil sem kopije papirjev.,Uredil sem jih po abecedi.,Papirji so bili neurejeni.,effect,1
37,Kupila je jahto.,Pridružila se je cerkvi.,Zadela je na loteriji.,effect,0
