idx,label,passage,question
0,True,"Perzijski jezik – Perzijščina (/ˈpɜːrʒən, -ʃən/), poznana tudi zendonimom  farsi (فارسی fārsi (fɒːɾˈsiː) (poslušajte)) je eden izmed zahodnih iranskih jezikov indoiranske veje indoevropske jezikovne družine. Jezik govorijo predvsem v Iranu, Afganistanu (od leta 1958 uradno znan kot dari) in Tadžikistanu (od sovjetskega obdobja uradno znan kot tadžiki) ter nekaterih drugih regijah, ki so bile v preteklosti perzijske družbe in del Velikega Irana. Napisana je v perzijski abecedi, spremenjeni različici arabske pisave, ki se je razvila iz aramejske abecede.",Ali v Iranu in Afganistanu govorijo isti jezik?
2,True,"Windows Movie Maker – Windows Movie Maker (v operacijskem sistemu Windows 7 znan kot Windows Live Movie Maker) je ukinjena Microsoftova programska oprema za urejanje videoposnetkov. Je del zbirke programske opreme Windows Essentials in ponuja možnost ustvarjanja in urejanja videoposnetkov ter njihovo objavo na spletnih mestih OneDrive, Facebook, Vimeo, YouTube in Flickr.",Ali je Windows Movie Maker del zbirke programske opreme Windows Essentials?
3,True,"Sladkor v prahu – Sladkor v prahu, imenovan tudi slaščičarski sladkor, sladkorna glazura in sladkorni obliv, je fino zmlet sladkor, proizveden z mletjem kristalnega sladkorja v prah. Običajno vsebuje majhno količino sredstva proti strjevanju, da se prepreči nastajanje grudic in izboljša tekočnost. Čeprav je najpogosteje proizveden v tovarni, lahko sladkor v prahu dobimo tudi z obdelavo navadnega kristalnega sladkorja v mlinčku za kavo ali z ročnim drobljenjem v možnarju.",Ali je slaščičarski sladkor ista stvar kot sladkor v prahu?
4,False,"The Elder Scrolls Online – Tako kot druge igre iz serije The Elder Scrolls, se tudi igra Elder Scrolls Online odvija na celini Tamriel. Dogodki v igri se odvijajo tisočletje pred dogodki v igri The Elder Scrolls V: Skyrim in približno 800 let pred dogodki v igri The Elder Scrolls III: Morrowind in The Elder Scrolls IV: Oblivion. Ima približno podobno strukturo kot Skyrim, hkrati pa se istočasno odvijata dva ločena konflikta; pri enem je na kocki usoda sveta, pri drugem pa je glavna nagrada vrhovna moč v Tamrielu. V igri Elder Scrolls Online se najprej spopadete z daedriškim princem Molagom Baluom, ki poskuša območje Mundusa združiti s svojim kraljestvom Coldharbour, naslednja naloga pa je, da zavzamete prost cesarski prestol, za katerega se bojujejo tri zavezništva smrtnih ras. Lik igralca je bil žrtvovan Molagu Balu, ki mu je ukradel dušo, zato je povrnitev duše glavni cilj igre.",Ali je igra Elder Scrolls Online ista stvar kot Skyrim?
6,False,"Da Vincijevi demoni – Serija je bila prvič predvajana 12. aprila 2013 v Združenih državah na televizijski mreži Starz, druga sezona serije pa je bila premierno predvajanja 22. marca 2014. Izšla je tudi tretja sezona serije, ki je bila prvič predvajana 24. oktobra 2015. 23. julija 2015 je televizijska mreža Starz napovedala, da bo tretja sezona tudi poslednja. Vendar pa je Goyer pustil odprte možnosti, da se vrne kot miniserija.",Ali bo izšla 4. sezona serije Da Vincijevi demoni?
8,True,"Pismo za gospo Bixby – V vojnem filmu Reševanje vojaka Ryana iz leta 1998 general George Marshall (igra ga Harve Presnell) svojim častnikom prebere pismo za gospo Bixby, preden izda ukaz, naj poiščejo in pošljejo domov vojaka Jamesa Francisa Ryana po tem, ko so njegovi trije bratje umrli v bitki.",Ali je pismo v filmu Reševanje vojaka Ryana napisal Abraham Lincoln?
9,True,"Batman in Robin (film) – Ker je bil film Batman za vedno junija 1995 velik uspeh, je podjetje Warner Bros. takoj naročilo nadaljevanje. Najeli so režiserja Joela Schumacherja in scenarista Akivo Goldsmana, da bi naslednjega avgusta ponovno prevzela svoje naloge, in se odločili pospešiti produkcijo, da bi film izšel junija 1997, kar je odmik od običajne triletne prekinitve med filmi. Schumacher je želel počastiti tako kičast slog televizijskih serij iz šestdesetih let prejšnjega stoletja kot tudi delo Dicka Spranga. Zgodbo filma Batman in Robin sta si zamislila Schumacher in Goldsman med predprodukcijo filma Čas za ubijanje. Del ozadja zgodbe gospoda Freeza temelji na epizodi '’Heart of Ice'’ serije Batman: The Animated Series, ki jo je napisal Paul Dini.",Ali je film Batman in Robin nadaljevanje filma Batman za vedno?
10,False,"Jazbec – Jazbeci so kratkonogi vsejedi iz družine Mustelidae (kune), kamor spadajo tudi vidre, dihurji, podlasice in rosomahi. Spadajo v podred psom podobnih zveri mesojedih sesalcev. 11 vrst jazbecev je razvrščenih v tri poddružine: Melinae (evrazijski jazbec), Mellivorinae (medarski jazbec) in Taxideinae (ameriški jazbec). Azijski smrdljivi jazbeci iz rodu Mydaus so bili prej vključeni v poddružino Melinae (in zatodružino kun, Mustelidae), vendar so nedavni genetski dokazi pokazali, da pravzaprav spadajo v družino skunkov in jih zato uvrščamo v taksonomsko družino Mephitidae.",Ali je rosomah ista žival kot jazbec?
11,False,"Zelena svetilka (film) – Film Zelena svetilka je izšel 17. junija 2011 in je na splošno požel negativne kritike; večina je film kritizirala zaradi scenarija, nedoslednega značaja, izbire in upodobitve zlobnežev ter uporabe računalniške izdelave slik, nekateri pa so pohvalili igro Ryana Reynoldsa.. Reynolds je pozneje izrazil svoje nezadovoljstvo nad filmom. Film ni dosegel pričakovane obiskanosti v kinematografih in je zaslužil 219 milijonov ameriških dolarjev,  produkcijski proračun pa je zanašal 200 milijonov ameriških dolarjev. Zaradi negativnega sprejema filma in slabih prihodkov od prodaje vstopnic je podjetje Warner Bros. odpovedalo vse načrte za nadaljevanje in so se odločili za ponovno oživitev lika v eni izmed zgodb namišljenega sveta DC Extended Universe s filmom Green Lantern Corps, ki naj bi izšel leta 2020..",Ali bo izšel drugi del filma Zelena svetilka?
13,True,Kalcijev karbid – Kalcijev karbid je kemična spojina s kemijsko formulo CaC. Za industrijske namene se največ uporablja pri proizvodnji acetilena in kalcijevega cianamida.,Ali je kalcijev karbid CaC2 surovina za proizvodnjo acetilena?
