premise,choice1,choice2,question,label,idx
Moje telo je metalo senco na travo.,Sonce je vzhajalo.,Trava je bila pokošena.,cause,0,0
Ženska je tolerirala težko vedenje svojega prijatelja.,"Ženska je vedela, da je njen prijatelj težko preživel.","Ženska je menila, da je njen prijatelj izkoristil njeno dobroto.",cause,0,1
Ženske so se srečale na kavi.,Kavarna se je ponovno odprla na novi lokaciji.,Želela sta se dohiteti.,cause,1,2
Tekmovalec je imel kratke hlače.,Napoved je napovedovala visoke temperature.,Načrtovala je tek po plaži.,cause,0,3
Gostje zabave so se skrili za kavčem.,Bila je zabava presenečenja.,Bila je rojstnodnevna zabava.,cause,0,4
Politik je volitve izgubil.,Prikazoval je negativne oglaševalske akcije.,Zanj ni nihče glasoval.,cause,1,5
Madež je prišel iz srajce.,Pokrpal sem srajco.,Pobelil sem srajco.,cause,1,6
Moški je dobil popust na živila.,Pozdravil je blagajnico.,Uporabil je kupon.,cause,1,7
Zdravnik je bolniku napačno diagnosticiral.,Pacient je zoper zdravnika vložil tožbo zaradi zlorabe.,Pacient je zdravniku razkril zaupne podatke.,effect,0,8
Kupec je pri upravitelju trgovine vložil pritožbo.,Prodajni sodelavec je kupcu premalo plačal.,Prodajni sodelavec se je do kupca obnašal nesramno.,cause,1,9
Ženska si je popravila pipo.,Pipa je puščala.,Pipa je bila izklopljena.,cause,0,10
Starejša ženska je doživela možgansko kap.,Ženska hči je prišla očistiti hišo.,Ženska hči se je preselila k njej.,effect,1,11
Ribnik je pozimi zmrzal.,Ljudje so drsali na ribniku.,Ljudje so na ribnik pripeljali čolne.,effect,0,12
Kršitelj je kršil pogojni odpust.,Vrnili so jo v zapor.,V cerkvi je ukradla denar.,effect,0,13
Spalnega prijatelja sem polil z vodo.,Moj prijatelj se je zbudil.,Moj prijatelj je smrčal.,effect,0,14
Deklica je dahnila.,Njen prijatelj ji je zataknil kocko ledu po hrbtu.,Njen prijatelj jo je potolkel po hrbtu.,cause,0,15
Srajca se je skrčila.,Vanj sem vlila belilo.,Dal sem ga v sušilni stroj.,cause,1,16
Zunaj se je stemnilo.,Snežinke so začele padati z neba.,Luna je postala vidna na nebu.,effect,1,17
Odložil sem telefon.,Klicatelj se je poslovil od mene.,Klicatelj se mi je predstavil.,cause,0,18
Ženski prstan je zdrsnil pod prho.,Ženska je polirala prstan.,Prstan se je spustil v odtok.,effect,1,19
Deklica je prejela pokal.,Osvojila je črkovalko.,Našla je novega prijatelja.,cause,0,20
Ženski zmenek je hotel izgledati kot gospod.,Odprl ji je vrata.,"Vprašal jo je, ali ji je všeč suši.",effect,0,21
Kmetijska zemljišča so potrebovala namakanje.,Zgrajen je bil kanal.,Pojavila se je poplava.,effect,0,22
Gostitelj je odpovedal zabavo.,"Bila je prepričana, da ima gripo.","Skrbelo jo je, da bo zbolela za gripo.",cause,0,23
Ženska je moškemu dala svojo telefonsko številko.,Pritegnil jo je.,Odbil jo je on.,cause,0,24
Padalka je varno zdrsnila na tla.,Odprla je padalo.,Skočila je iz letala.,cause,0,25
Malček je postal razdražljiv.,Mati jo je spustila na dremež.,Njena mama si je lase popravila v pigtaile.,effect,0,26
Otrok je postal imun na bolezen.,Izogibal se je izpostavljenosti bolezni.,Prejel je cepivo za bolezen.,cause,1,27
Grozdni sok je fermentiral.,Sok se je spremenil v vino.,Sok je izhlapel.,effect,0,28
Razprava prijateljev se je vlekla neskončno.,Prijatelja sta se videla iz oči v oči.,Prijatelji so si cepili dlake.,cause,1,29
Ženska si je brnela.,Bila je živčna.,Bila je dobre volje.,cause,1,30
Moški je sovražil svojo novo frizuro.,Nosil je klobuk.,Pustil je brado.,effect,0,31
Policija je svoje orožje usmerila na ubežnika.,Ubežnik je padel na tla.,Ubežnik je spustil pištolo.,effect,1,32
Pacient je bil dehidriran.,Medicinska sestra je preizkusila njegove reflekse.,Medicinska sestra mu je dala IV.,effect,1,33
Deklica je našla manjkajoči delček sestavljanke.,Dokončala je uganko.,Sestavila je sestavljanko.,effect,0,34
Moški je nujno skočil iz postelje.,Hotel je izklopiti budilko.,Pred službo si je želel zlikati hlače.,cause,0,35
Papirji so bili neorganizirani.,Izdelala sem jih fotokopije.,Razvrstila sem jih po abecedi.,effect,1,36
Ženska je dobila loterijo.,Kupila je jahto.,Pridružila se je cerkvi.,effect,0,37
Šivilja je potisnila iglo z navojem v blago.,"Nit, ovit okoli igle.",Nit je šel skozi tkanino.,effect,1,38
Ženska je najela odvetnika.,"Odločila se je, da bo tožila delodajalca.",Odločila se je za kandidaturo.,cause,0,39
Najemnik mu je zapravil ključe stanovanja.,Njegov gospodar je odklenil vrata.,Njegov lastnik je popravil vrata.,effect,0,40
Moja najljubša pesem je prišla po radiu.,Zaprla sem si ušesa.,Zapela sem mu.,effect,1,41
"Direktor se je odločil, da prosilca ne bo zaposlil.",Vlagatelj ni uspel preveriti preteklosti.,Prosilec je imel delovne izkušnje.,cause,0,42
Moško oko se je okužilo.,Oslepel je.,Nataknil si je očala.,effect,0,43
Ptica ni mogla leteti.,Preselila se je za zimo.,Poškodovalo si je krilo.,cause,1,44
Dekle si je zaželelo.,Videla je črno mačko.,Videla je zvezdo padalko.,cause,1,45
Ženska je ob izstopu iz bazena drhtala.,Zavila se je v brisačo.,Nalila si je limonade.,effect,0,46
Medicinska sestra je pripravila iglo za pacientovo injekcijo.,Pacient je zakrvavel.,Bolnik se je napnel.,effect,1,47
Moški je vrgel kruh.,Bilo je sveže.,Bilo je zastarelo.,cause,1,48
Otroci so podrli svetilko.,Sklepali so se z blazino.,Skočili so na posteljo.,cause,0,49
Pil sem iz vodnjaka.,Bil sem žejen.,Bilo mi je slabo.,cause,0,50
Lastniki domov niso marali svojih radovednih sosedov.,Okoli svojega posestva so zgradili ograjo.,Na svojem dvorišču so gostili žar.,effect,0,51
Bodybuilder je dvignil uteži.,Telovadnica je zaprta.,Njene mišice so se utrudile.,effect,1,52
Kuhar je v skledi mešal sestavine.,Sestavine so se stopile.,Sestavine so se pomešale.,effect,1,53
Moški je podpisal dokument.,Transakcija je bila razveljavljena.,Transakcija je postala uradna.,effect,1,54
Policist je spustil pištolo.,Pištola se je odmaknila.,Pištola je ugasnila.,effect,1,55
Ženska se je počutila prisiljena pomagati nekomu v stiski.,Darovala je kri.,Napisala je pesem.,effect,0,56
Ženska se je počutila osamljeno.,Prenovila je kuhinjo.,Posvojila je mačko.,effect,1,57
Na les sem podrgnil brusni papir.,Les je postal gladek.,Les je postal lepljiv.,effect,0,58
Množica je bendu dala bučne aplavze.,Skupina je podpisala avtograme.,Skupina se je znova pojavila na odru.,effect,1,59
Moški je svojo prazno pločevinko vrgel na ulico.,Skočili so ga od zadaj.,Zaradi smeti je bil kaznovan.,effect,1,60
Želodec mi je zarežal.,Pozabil sem zajtrkovati.,Od zajtrka sem bil sit.,cause,0,61
Jadralci so sprožili raketo.,Njihov čoln se je odplaval do obale.,Njihov čoln je bil rešen.,effect,1,62
Moški je odstranil plašč.,Vstopil je v hišo.,Sprostil je kravato.,cause,0,63
Družina je svojega psa odpeljala k veterinarju.,Pes je prežvečil kost.,Pes si je poškodoval tačko.,cause,1,64
Ženska je obesila piškot nad psom.,Pes je poskočil.,Pes se je opraskal po dlaki.,effect,0,65
Naučila sem se igrati družabno igro.,Prijatelj mi je razložil pravila.,Moj prijatelj je narobe razumel pravila.,cause,0,66
Moški je odšel za konec tedna.,Hotel se je sprostiti.,Počutil se je zadovoljen.,cause,0,67
Trgovina je bila zaprta.,Lastnik je pomagal strankam.,Trgovina je bila v prenovi.,cause,1,68
Fant je uglasil radio.,Postaja je predvajala rock glasbo.,Postaja je prihajala s statiko.,cause,1,69
