idx,text,span1_index,span1_text,span2_index,span2_text,label
0,"Mark je Peteu o sebi povedal veliko laži, ki jih je Pete vključil v svojo knjigo. On je ta, ki bi moral biti bolj skeptičen.",0,Mark,16,On,False
1,"Mami Arthurja in Celeste sta ponju prišli v mesto. Zelo veseli sta, da sta nazaj, vendar ju vseeno oštevata, ker sta pobegnila stran.",0,Mami,16,ju,False
2,"Mark je bil za petami gospoda Singerja . Slišal je , kako je poklical kapitana in mu obljubil, v žargonu, ki so ga tisto noč vsi uporabljali, da ne bo poškodovano nič razen streliva, vendar pa bi bilo najbolje, ko bi kapitan in njegova posadka ostali noter, dokler ne bo vsega konec.",5,gospoda Singerja,8,Slišal je,False
3,"Poni se je lepo obnašal, gospod, in je bil vedno ubogljiv; vendar je nazadnje dvignil kopita in vrgel mladega gospodiča v trnovo grmovje. Želel je , da bi mu pomagal, vendar upam, da mi boste oprostili, gospod, če rečem, da mi ni bilo niti najmanj do tega.",18,mladega gospodiča,23,Želel je,True
4,"Iz steklenice sem v skodelico nalival vodo, dokler ni bila polna.",4,skodelico,8,ni bila,True
5,"Dan je Billu moral preprečiti, da bi se poigraval z ranjeno ptico. Zelo je sočuten.",0,Dan,13,je,True
6,"Biografija Sama Goodmana o špartanskem generalu Ksenofontu slikovito prikaže težave, s katerimi se je soočal med otroštvom.",2,Goodmana,12,se je soočal,False
7,"Pamina starša sta prišla domov in jo zalotila med seksom z njenim fantom, Paulom. Bila sta zelo jezna.",0,Pamina starša,14,Bila sta,True
8,"Bob je plačal za Charliejev študij na kolidžu, zdaj pa se Charlie obnaša, kot da se to ni nikoli zgodilo. Zelo je prizadet.",0,Bob,21,je,True
9,"Billy je jokal, ker Toby ni delil svoje igrače.",4,Toby,7,svoje,True
10,"Emma žoge ni podala Janie , četudi je bila odprta.",4,Janie,7,je bila,True
11,Samova risba je visela nad Tinino in res je bila videti bolje ob drugi sliki pod njo.,0,Samova risba,8,je bila videti,True
12,"Bob je plačal za Charliejev študij na kolidžu, zdaj pa se Charlie obnaša, kot da se to ni nikoli zgodilo. Zelo je nehvaležen.",0,Bob,21,je,False
13,"Odvetnica je priči zastavila vprašanje, vendar se je obotavljala odgovoriti .",0,Odvetnica,6,se je obotavljala odgovoriti,False
14,"Sam je k Adamu hodil na ure francoščine, ker jo je želel govoriti tekoče.",0,Sam,10,je želel govoriti,True
15,"Sid je predstavil svojo teorijo Marku , vendar ga ni prepričal .",5,Marku,9,ni prepričal,False
16,"Mestni svetniki demonstrantom niso izdali dovoljenja, saj so propagirali nasilje.",2,demonstrantom,7,so propagirali,True
17,"Ko je Tommyju sladoled padel na tla, se je Timmy zahihital, zato mu je oče namenil sočuten pogled.",9,Timmy,12,mu,False
18,"Potem ko sem videl Billa loviti muhe in jim trgati krilca, sem mu prisolil eno okoli ušes. Ravnatelju sem pokazal muhe, nekatere so bile zmečkane, druge pa so se nemočno plazile, in pokazal sem mu krilca na okenski polici. Nikoli ga še nisem videl tako jeznega; vendar ker je Bill, strahopetec, kot je bil , še vedno zavijal in se cmeril, ga ni dodatno kaznoval, temveč ga je za preostanek dneva posedel na klopco in mu prepovedal, da bi se tisti teden šel igrat ven.",17,Ravnatelju,52,je bil,False
19,"Novinarji so intervjuvali igralce iz novega filma. Bili so prijazni, zato je intervju trajal kar nekaj časa.",0,Novinarji,7,Bili so,False
20,"Joan se je Susan vedno zahvalila za vso pomoč, ki jo je ponudila .",3,Susan,11,je ponudila,True
21,Zaradi nevihte se je podrla smreka in treščila v streho moje hiše. Zdaj jo moram popraviti.,9,streho,13,jo,True
22,"Beth se ni razjezila na Sally, ki jo je prekinila, zato ker se je ustavila in preštela do deset.",0,Beth,12,se je ustavila,True
23,"Odvetnica je priči zastavila vprašanje, vendar se ga je obotavljala ponoviti .",0,Odvetnica,6,se ga je obotavljala ponoviti,True
24,"Sir Clifford želi, da mu najdem novega konjušnika , starega okoli dvajset ali enaindvajset, ki se spozna na svoj posel. Njegov stari kočijaž je vedno bolj šibek in želi si moža, ki bi delal z njim in se naučil njegovih metod in ki bi lahko prevzel njegov položaj.",7,konjušnika,46,njegov,False
25,"Ker je deževalo, sem časopis dal čez nahrbtnik, zato da ostane suh.",4,časopis,10,ostane,False
26,"Ko bi goljufu uspelo preslepiti Sama, bi dobil veliko denarja.",2,goljufu,6,bi dobil,True
27,"Fant je še naprej udrihal po poniju , zato ga je poni nazadnje vrgel iz sedla. John se je glasno zasmejal. »Prav mu je,« je rekel.",6,poniju,22,mu,False
28,Biskvit sem pospravil v hladilnik. V njem je veliko ostankov.,0,Biskvit,6,njem,False
29,Riba je pojedla glisto . Bila je okusna.,3,glisto,5,Bila je,True
30,"Babar se sprašuje, kako dobiti nova oblačila. K sreči zelo star bogataš, ki je že od nekdaj imel rad slončke, takoj razume, da hrepeni po imenitni obleki. Ker rad osrečuje druge, mu da svojo denarnico.",0,Babar,28,rad,False
31,"Igralki je bilo nekoč ime Terpsihora , vendar si ga je pred nekaj leti spremenila v Tina, ker se ji zdelo, da ga je lažje izgovoriti.",5,Terpsihora,22,ga,False
32,"Mark je spal. Bil je že dan, ko se je zbudil z Warrenovo roko na svojem ramenu.",12,Warrenovo roko,15,svojem,False
33,"Fred si je z rokami zakril oči, ker je veter raznašal pesek. Ko je veter ponehal, jih je spustil.",4,rokami,16,jih,True
34,"Sir Clifford želi, da mu najdem novega konjušnika, starega okoli dvajset ali enaindvajset, ki se spozna na svoj posel. Njegov stari kočijaž je vedno bolj šibek in želi si moža, ki bi delal z njim in se naučil njegovih metod in ki bi lahko prevzel njegov položaj.",20,stari kočijaž,45,njegov,True
35,"Joe je plačal detektivu, potem ko je dostavil končno poročilo o primeru.",0,Joe,6,je dostavil,False
36,"Ko je Andrea v kmetijskem letalu preletela Susan , je zagledala pristajalno stezo.",7,Susan,9,je zagledala,False
37,"Frank je bil jezen na Toma , ker pekač, ki ga je kupil od njega, ni delal.",5,Toma,10,ga,False
38,Lily je pretrgala svojo tišino in govorila z Donno .,8,Donno,3,svojo,False
39,"Mačka je ležala zraven mišje luknje in čakala na miško, vendar je bila preveč previdna.",0,Mačka,11,je bila,False
40,"C.K. je prav tako smrtonosno čeden. Dexter Haven , bledičen mlad gizdalin s sprehajalno palico z ročajem iz žada ter s kodrom, ki spi ob njegovih nogah.",7,Haven,25,njegovih,True
