hypothesis,idx,label,premise
V Iraku našli orožja za množično uničevanje.,0,not_entailment,Doslej v Iraku še niso našli orožij za množično uničevanje.
Papež Benedikt XVI. je novi vodja Rimskokatoliške cerkve.,1,entailment,"Kraj žalosti po smrti papeža Janeza Pavla II je postal kraj praznovanja, ko so se rimokatoliki zbrali v središču Chicaga, da bi obeležili ustoličenje novega papeža Benedikta XVI."
Herceptin se lahko uporabi za zdravljenje raka na prsih.,2,entailment,"Herceptin je bil že potrjen za zdravljenje najbolj bolnih pacientov z rakom na prsih in v ponedeljek so na podjetju povedali, da se bodo z zveznimi regulatorji pogovarjali o možnosti, da bi zdravilo predpisali še več bolnikom z rakom na prsih."
Prejšnje ime mesta Ho Ši Minh je bilo Sajgon.,3,entailment,"Judie Vivian, izvršna direktorica ProMedice, podjetje medicinske pomoči, ki pomaga vzdrževati 2-letni Vietnamski srčni inštitut v mestu Ho Ši Minh (nekdaj Sajgon), je dejala, da je bilo doslej zdravljenih okrog 1.500 otrok."
"Paula Stewarta Hutchinsona so obtožili, da je zabodel dekle.",4,not_entailment,"Pred sodišče bo stopil moški obtožen umora najstnice, ki se je zgodil 26 let nazaj in je bil prvi primer, ki so ga predstavili na oddaji Crimewatch, ki jo predvaja BBC One. Colette Aram, 16, je izginila 30. oktobra 1983, ko je bila na poti v hišo svojega fanta v Keyworthu v okrožju Nottinghamshire. Njeno telo so pozneje našli na polju v bližini njenega doma. Paul Stewart Hutchinson, 50, ki so ga obtožili umora, bo pred sodišče stopil v Nottinghamu."
"Bakrija so na kratko zadržali, vendar so ga pozneje izpustili.",5,entailment,"Velika Britanija je v petek sporočila, da je muslimanskemu kleriku Omarju Bakriju prepovedala vrnitev v državo iz Libanona, kjer ga je policija zadržala 24 ur in nato izpustila."
Tri četrtine nezakonitih priseljencev v ZDA ima otroke.,6,not_entailment,"Rezultati raziskave, ki jo je izvedel Pew Hispanic Center, kažejo, da se je v ZDA rodilo skoraj 4 milijone otrok, ki imajo vsaj enega starša, ki je se je nezakonito priselil v ZDA; ker so rojeni v ZDA, imajo ti otroci ameriško državljanstvo. Študija trdi, da ta številka predstavlja tri četrtine od ocenjenih 5,5 milijonov otrok nezakonitih priseljencev v ZDA. Raziskava je ugotovila, da okoli 1,8 milijona otrok nedokumentiranih priseljencev živi v revščini."
Aristide je naročil umor premierja Roberta Malvala v prestolnici Port-au-Prince.,7,not_entailment,"Podobno kot Združene države so tudi uradniki Združenih narodov zgroženi, da je Aristide zatrl konferenco, ki jo je sklical premier Robert Malval v prestolnici Port-au-Prince v upanju, da bo pod isto streho spravil vse sprte strani."
Dick Cheney je bil Bushev podpredsednik.,8,entailment,"WASHINGTON --  Besedilo priporočila Busheve administracije agenciji CIA glede uporabe sile pri zasliševanju, s katerega so nedavno umaknili oznako tajnosti, razkriva, da majhna skupina odvetnikov s pravosodnega ministrstva, ki je napisala okrožnice, ki so dovolile sporne metode zasliševanja, ni delovala na lastno pest, temveč po navodilih najvišjih uradnikov iz administracije, vključno s tedanjim podpredsednikom Dickom Cheneyjem in svetovalko za državno varnost, Condoleezzo Rice. Besedilo obenem kaže na to, da tedanji obrambni minister, Donald H. Rumsfeld, in državni sekretar, Colin Powell, večinoma nista sodelovala pri prinašanju odločitev."
Microsoftov Hotmail je povečal kapaciteto za shranjevanje na 250MB.,9,entailment,"Samo teden zatem, ko Microsoft ni želel komentirati, ali bo povečal kapaciteto za shranjevanje na svoji e-poštni storitvi, Hotmailu, je zgodaj v četrtek Microsoft oznanil, da bo povečal kapaciteto na 250MB in s tem sledil zgledu tekmecev, kot so Google, Yahoo in Lycos."
